iter	Passed	Remaining
0	0	52
1	1	56
2	1	61
3	2	64
4	3	62
5	3	61
6	4	60
7	5	58
8	5	56
9	6	55
10	6	53
11	7	52
12	7	51
13	8	51
14	9	51
15	9	50
16	10	50
17	10	49
18	11	48
19	12	48
20	12	47
21	13	46
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	37
33	19	36
34	19	36
35	20	35
36	20	35
37	21	34
38	21	33
39	22	33
40	22	32
41	23	31
42	23	31
43	23	30
44	24	29
45	24	29
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	33	18
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	12
77	40	11
78	41	10
79	41	10
80	42	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
