iter	Passed	Remaining
0	134	134761
1	135	67835
2	136	45409
3	137	34174
4	137	27448
5	138	22948
6	139	19779
7	140	17372
8	140	15500
9	141	14003
10	142	12773
11	142	11746
12	143	10885
13	143	10132
14	144	9487
15	145	8966
16	146	8477
17	147	8029
18	147	7628
19	148	7270
20	149	6953
21	149	6658
22	150	6385
23	151	6140
24	151	5918
25	152	5708
26	152	5510
27	153	5327
28	154	5161
29	154	5011
30	155	4861
31	156	4719
32	156	4589
33	157	4471
34	157	4354
35	159	4259
36	159	4153
37	160	4054
38	160	3958
39	161	3869
40	161	3781
41	162	3700
42	162	3625
43	163	3558
44	164	3485
45	164	3416
46	165	3352
47	165	3289
48	166	3227
49	166	3169
50	167	3112
51	167	3058
52	168	3010
53	169	2962
54	169	2916
55	170	2872
56	170	2827
57	171	2783
58	171	2741
59	172	2700
60	172	2660
61	173	2621
62	173	2584
63	174	2548
64	174	2515
65	175	2484
66	176	2451
67	176	2420
68	177	2391
69	177	2360
70	178	2331
71	178	2303
72	179	2276
73	179	2248
74	180	2221
75	180	2197
76	181	2174
77	181	2150
78	182	2127
79	183	2104
80	183	2081
81	183	2058
82	184	2038
83	185	2017
84	185	1996
85	185	1975
86	186	1955
87	186	1937
88	187	1919
89	188	1902
90	188	1884
91	189	1866
92	189	1848
93	190	1831
94	190	1814
95	190	1798
96	191	1781
97	191	1765
98	192	1749
99	192	1734
100	193	1721
101	193	1707
102	194	1693
103	194	1679
104	195	1665
105	195	1651
106	196	1638
107	196	1624
108	197	1612
109	197	1600
110	198	1589
111	199	1579
112	200	1570
113	200	1559
114	201	1548
115	201	1538
116	202	1526
117	202	1515
118	203	1504
119	203	1494
120	204	1483
121	204	1472
122	205	1462
123	205	1453
124	206	1444
125	206	1435
126	207	1424
127	207	1415
128	208	1407
129	208	1398
130	209	1389
131	209	1380
132	210	1371
133	210	1363
134	211	1356
135	212	1348
136	212	1340
137	213	1332
138	213	1325
139	214	1317
140	214	1309
141	215	1300
142	215	1293
143	216	1285
144	216	1277
145	217	1270
146	217	1263
147	218	1257
148	218	1250
149	219	1243
150	219	1236
151	220	1229
152	220	1222
153	221	1215
154	221	1209
155	222	1202
156	222	1195
157	223	1189
158	223	1183
159	224	1178
160	225	1172
161	225	1167
162	226	1160
163	226	1154
164	227	1148
165	227	1142
166	227	1136
167	228	1130
168	228	1125
169	229	1119
170	229	1114
171	230	1110
172	231	1105
173	231	1100
174	232	1094
175	232	1089
176	233	1084
177	233	1079
178	234	1073
179	234	1068
180	235	1063
181	235	1058
182	235	1053
183	236	1049
184	237	1045
185	237	1040
186	238	1035
187	238	1031
188	239	1026
189	239	1021
190	240	1017
191	240	1012
192	241	1007
193	241	1003
194	241	998
195	242	994
196	243	991
197	243	986
198	244	982
199	244	978
200	245	973
201	245	969
202	245	965
203	246	961
204	246	957
205	247	953
206	247	949
207	248	945
208	248	941
209	249	938
210	249	934
211	250	930
212	250	927
213	251	923
214	251	919
215	252	916
216	252	912
217	253	908
218	253	905
219	254	901
220	254	898
221	255	895
222	256	892
223	256	889
224	257	885
225	257	881
226	257	878
227	258	875
228	258	871
229	259	868
230	259	864
231	260	861
232	260	858
233	261	857
234	262	854
235	263	851
236	263	848
237	263	845
238	264	842
239	264	839
240	265	835
241	265	832
242	266	829
243	266	827
244	267	825
245	268	822
246	268	819
247	269	817
248	269	814
249	270	811
250	270	808
251	271	805
252	271	802
253	272	799
254	272	796
255	273	793
256	273	791
257	274	789
258	274	786
259	275	784
260	275	781
261	276	778
262	276	775
263	277	773
264	277	770
265	278	767
266	278	765
267	279	762
268	279	760
269	280	758
270	280	755
271	281	753
272	281	750
273	282	748
274	282	745
275	283	743
276	283	740
277	284	737
